id,description,year,dateBegan,daterestoration,respondent,geographicAreas,NERCRegion,tags,beginTime,restorationTime,numCustomersAffected,demandLoss
1324,Public Appeal,2006,4/17/2006,4/17/2006,CenterPoint Energy,System-wide greater Houston metro area (and across ERCOT),ERCOT,"load shedding, public appeal",16:10:00,18:11:00,68000.0,260.0
1325,Firm Load,2006,4/17/2006,4/17/2006,American Electric Power,AEP Texas Central/Texas North,ERCOT,load shedding,16:35:00,18:10:00,51404.0,108.0
1326,Severe Weather,2006,4/8/2006,4/8/2006,Southern Company,North and Central Alabama and Northern Georgia areas,SERC,"severe weather, tornado",04:00:00,11:00:00,115589.0,300.0
1327,Firm Load,2006,4/7/2006,4/7/2006,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,"voltage reduction, load shedding",08:43:00,09:29:00,54700.0,116.0
1328,Severe Weather,2006,4/2/2006,4/5/2006,Cinergy PSI,Southern half of Indiana,RFC,"severe weather, tornado, storm",21:00:00,04:25:00,186000.0,1000.0
1329,Severe Weather,2006,3/12/2006,3/14/2006,"City Water Light and Power (Springfield, Illinois)","Springfield, Illinois and vicinity",RFC,severe weather,20:30:00,12:00:00,65400.0,200.0
1330,Severe Weather,2006,3/9/2006,3/9/2006,Entergy Service Inc.,"Arkansas, Mississippi, Louisiana, Southeast Texas",SERC,severe weather,14:00:00,22:00:00,73000.0,
1331,Severe Weather,2006,2/27/2006,3/1/2006,Pacific Gas and Electric Company,Northern and Central California,WECC,"severe weather, winter storm",18:25:00,14:30:00,160000.0,
1332,Serve Load,2006,2/18/2006,2/18/2006,Public Service Company of Colorado,Colorado,WECC,load shedding,08:50:00,16:09:00,,428.0
1333,Severe Weather,2006,2/17/2006,2/17/2006,National Grid - NY  (Niagara Mohawk Power Corp),Upstate New York,NPCC,severe weather,04:32:00,12:00:00,200000.0,250.0
1334,Fuel Supply,2006,2/16/2006,Ongoing,Missouri Basin Power District,North Dakota,MRO,"fuel supply emergency, coal",,,0.0,1650.0
1335,Severe Weather,2006,2/16/2006,2/20/2006,Consumers Energy,"Muskegon, Michigan easterly to Bay City, Michigan",RFC,"severe weather, winter storm",12:00:00,23:00:00,252089.0,100.0
1336,Severe Weather,2006,2/12/2006,2/13/2006,Delmarva Power,Entire Delmarva Power service territory,RFC,"severe weather, winter storm",02:00:00,07:00:00,58000.0,50.0
1337,Severe Weather,2006,2/12/2006,2/14/2006,Potomac Electric Power Company,"Washington DC, Montgomery and Prince Georges Counties MD",RFC,"severe weather, winter storm",00:06:00,17:44:00,60000.0,300.0
1338,Severe Weather,2006,2/12/2006,2/14/2006,Atlantic City Electric,Entire Atlantic City Electric territory Southern New Jersey,RFC,"severe weather, winter storm",02:00:00,16:00:00,130000.0,80.0
1339,Severe Weather,2006,2/12/2006,2/12/2006,Dominion - Virginia Power,Northern and Northwestern Virginia,RFC,"severe weather, winter storm",05:55:00,14:00:00,126000.0,250.0
1340,Severe Weather,2006,2/11/2006,2/14/2006,Baltimore Gas and Electric,Baltimore Metropolitan and Central Maryland,RFC,"severe weather, winter storm",21:00:00,23:00:00,180000.0,500.0
1341,Severe Weather,2006,2/4/2006,2/8/2006,Puget Sound Energy,Western Washington,WECC,"severe weather, wind",04:30:00,08:00:00,140000.0,
1342,Severe Weather,2006,2/4/2006,2/6/2006,Snohomish County PUD #1,"Snohomish County, Washington",WECC,"severe weather, wind",01:34:00,00:01:00,123827.0,150.0
1343,Severe Weather,2006,1/18/2006,1/18/2006,Central Maine Power Company,Southern and Central Maine,NPCC,"severe weather, storm",15:16:00,18:34:00,63000.0,75.0
1344,Severe Weather,2006,1/14/2006,1/16/2006,PECO Energy,"Chester, Montgomery, Delaware, Philadelphia and Bucks Counties, Pennsylvania",RFC,"severe weather, wind",15:45:00,17:30:00,142315.0,
1345,Severe Weather,2005,12/31/2005,1/5/2006,Pacific Gas and Electric,Northern and Central California,WECC,"severe weather, storm",06:00:00,09:00:00,1667316.0,800.0
1346,Severe Weather,2005,12/15/2005,12/21/2005,Duke Energy Company/Duke Power Control Area,Piedmont North Carolina and South Carolina,SERC,"severe weather, winter storm",04:00:00,17:00:00,683000.0,3500.0
1347,Severe Weather,2005,12/15/2005,12/16/2005,Southern Company,Northeast Georgia,SERC,"severe weather, winter storm",05:05:00,12:10:00,52659.0,75.0
1348,Severe Weather,2005,11/12/2005,11/14/2005,We Energies,Southeast Wisconsin,MAIN,"severe weather, thunderstorm",16:00:00,18:00:00,48000.0,10.0
1349,Severe Weather,2005,11/12/2005,11/14/2005,Consumers Energy,Western and Central portions of Michigan's Lower Peninsula,ECAR,"severe weather, thunderstorm",23:00:00,23:59:00,272355.0,408.0
1350,Severe Weather,2005,11/6/2005,11/11/2005,DTE Energy,Southeast Michigan,ECAR,"severe weather, thunderstorm",07:30:00,23:30:00,118000.0,212.0
1351,Plant Tripped,2005,11/3/2005,11/3/2005,Crockett Cogeneration,"San Francisco Bay area, California",WECC,equipment failure,18:47:00,19:00:00,,136.0
1352,Hurricane Wilma,2005,10/24/2005,11/2/2005,Allegheny Power,"Maryland, North Central West Virginia, Southwestern Pennsylvania, and Northern Pennsylvania",MAAC,"severe weather, hurricane/tropical storm",20:00:00,16:30:00,303795.0,400.0
1353,Hurricane Wilma,2005,10/24/2005,10/24/2005,Seminole Electric Cooperative,"Florida counties of Collier, Charlotte and Lee",FRCC,"severe weather, hurricane/tropical storm",04:00:00,16:00:00,105000.0,280.0
1354,Hurricane Wilma,2005,10/24/2005,11/10/2005,Florida Municipal Power Agency,"South Florida - Cities of Key West, Clewiston, Lake Worth, and Ft. Pierce",FRCC,"severe weather, hurricane/tropical storm",07:00:00,00:00:00,84900.0,148.0
1355,Hurricane Wilma,2005,10/23/2005,10/24/2005,Florida Power and Light,"South Florida, Naples, Ft. Myers, Miami, Ft. Lauderdale, West Palm Beach and Martin county",FRCC,"severe weather, hurricane/tropical storm",20:00:00,14:00:00,3241437.0,10000.0
1356,Firm Load,2005,10/22/2005,10/22/2005,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,"voltage reduction, load shedding",09:44:00,11:40:00,85682.0,360.0
1357,Firm Load,2005,10/18/2005,10/18/2005,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,"voltage reduction, load shedding",15:19:00,,142591.0,460.0
1358,Firm Load,2005,10/2/2005,10/2/2005,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,"voltage reduction, load shedding",17:40:00,17:54:00,71240.0,312.0
1359,Hurricane Rita,2005,9/24/2005,9/28/2005,American Electric Power - CSWS,"Shreveport, Louisiana",ECAR,"severe weather, hurricane/tropical storm",10:00:00,18:00:00,190000.0,700.0
1360,Hurricane Rita,2005,9/24/2005,10/2/2005,TXU Electric Delivery Company,"Nacogdoches, Lufkin, Tyler, Jacksonville, Rusk, Paris, Commerce, Huntington",ERCOT,"severe weather, hurricane/tropical storm",06:00:00,17:00:00,200000.0,260.0
1361,Hurricane Rita,2005,9/23/2005,9/24/2005,CenterPoint Energy Houston Electric,"Houston, Texas and the surrounding suburban areas",ERCOT,"severe weather, hurricane/tropical storm",17:00:00,20:00:00,715000.0,1950.0
1362,Hurricane Rita,2005,9/23/2005,9/25/2005,Entergy Corporation,"Texas, Louisiana, Arkansas, and Mississippi",SPP,"severe weather, hurricane/tropical storm",21:00:00,07:30:00,766000.0,
1363,Hurricane Rita,2005,9/23/2005,10/6/2005,Louisiana Generating,West and Southwest Louisiana,SPP,"severe weather, hurricane/tropical storm",13:06:00,14:30:00,125000.0,350.0
1364,Hurricane Rita,2005,9/23/2005,9/28/2005,City of Lakeland,"Lakeland, Florida",FRCC,"severe weather, hurricane/tropical storm, fuel supply emergency, public appeal",07:00:00,11:29:00,0.0,0.0
1365,Hurricane Rita,2005,9/22/2005,9/29/2005,Progress Energy Florida,"Counties of Alachua, Bay, Citrus, Columbia, Dixie, Franklin, Gilchrist, Gulf, Hamilton, Hardee, Hernando, Highlands, Jefferson, Lafayette, Lake, Levy, Madison, Marion, Orange, Osceola, Pasco, Pinellas, Polk, Seminole, Sumter, Suwannee, Taylor, Volusia and Wakulla",FRCC,"severe weather, hurricane/tropical storm, fuel supply emergency, public appeal",12:00:00,12:00:00,0.0,0.0
1366,Severe Weather,2005,9/22/2005,9/26/2005,DTE Energy,Southeast Michigan,ECAR,"severe weather, thunderstorm",11:00:00,23:30:00,53000.0,366.0
1367,Severe Weather,2005,9/21/2005,9/27/2005,Xcel Energy - Northern States  Power,Minnesota,MRO,"severe weather, tornado",19:00:00,23:00:00,200000.0,
1368,Hurricane Ophelia,2005,9/14/2005,9/15/2005,Progress Energy - Carolinas,Eastern North Carolina,SERC,"severe weather, hurricane/tropical storm",15:00:00,15:00:00,60000.0,215.0
1369,Severe Weather,2005,9/13/2005,9/16/2005,We Energies,Southeast Wisconsin and Fox Valley,MAIN,"severe weather, storm",18:30:00,20:00:00,110000.0,600.0
1370,Firm Load,2005,9/13/2005,9/13/2005,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,"voltage reduction, load shedding",14:14:00,14:29:00,66480.0,249.0
1371,Unknown,2005,9/12/2005,9/12/2005,Los Angeles Department of Water and Power,"Los Angeles, California",WECC,equipment failure,12:32:00,13:56:00,900000.0,2578.0
1372,Hurricane Katrina,2005,8/31/2005,9/12/2005,Seminole Electric Cooperative,Member Service Territory is located in the West coast of Florida from Tallahassee to Fort Myers,FRCC,"severe weather, hurricane/tropical storm, fuel supply emergency, public appeal",16:00:00,08:00:00,0.0,0.0
1373,Hurricane Katrina,2005,8/29/2005,8/30/2005,Entergy Corporation,"Buras, Louisiana",SPP,"severe weather, hurricane/tropical storm",06:00:00,06:00:00,1200000.0,
1374,Hurricane Katrina,2005,8/29/2005,9/7/2005,Progress Energy Florida,"Counties of Alachua, Bay, Citrus, Columbia, Dixie, Franklin, Gilchrist, Gulf, Hamilton, Hardee, Hernando, Highlands, Jefferson, Lafayette, Lake, Levy, Madison, Marion, Orange, Osceola, Pasco, Pinellas, Polk, Seminole, Sumter, Suwannee, Taylor, Volusia and Wakulla",FRCC,"severe weather, hurricane/tropical storm, fuel supply emergency",07:10:00,15:00:00,0.0,0.0
1375,Hurricane Katrina,2005,8/29/2005,8/29/2005,Louisiana Generating,East and Southeast Louisiana,SPP,"severe weather, hurricane/tropical storm",01:10:00,12:42:00,143000.0,300.0
1376,Hurricane Katrina,2005,8/29/2005,9/8/2005,City of Lakeland,"City of Lakeland, Florida",FRCC,"severe weather, hurricane/tropical storm, fuel supply emergency, public appeal",17:00:00,00:01:00,0.0,0.0
1377,Hurricane Katrina,2005,8/29/2005,9/10/2005,Tennessee Valley Authority,"Alabama, Mississippi,  Tennessee",SERC,"severe weather, hurricane/tropical storm",15:50:00,12:00:00,323529.0,118.5
1378,Hurricane Katrina,2005,8/29/2005,8/29/2005,Southern Company,"Alabama, Florida, Mississippi",SERC,"severe weather, hurricane/tropical storm",07:10:00,22:00:00,512049.0,5120.0
1379,CAISO,2005,8/25/2005,8/25/2005,Southern California Edison Company,Southern California,WECC,"load shedding, transmission interruption",15:51:00,20:00:00,409000.0,864.0
1380,CAISO,2005,8/25/2005,8/25/2005,California ISO,Southern California,WECC,"load shedding, public appeal",15:50:00,20:00:00,,
1381,Severe Weather,2005,8/20/2005,8/20/2005,American Electric Power -AEP West,Northwest Arkansas,ECAR,"severe weather, thunderstorm",14:15:00,16:21:00,50797.0,650.0
1382,Firm Load,2005,8/19/2005,8/19/2005,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,"voltage reduction, load shedding",19:37:00,20:15:00,71864.0,259.0
1383,Plant Tripped,2005,8/8/2005,8/8/2005,Crockett Cogeneration,"San Francisco Bay area, California",WECC,equipment failure,12:38:00,16:00:00,,240.0
1384,Firm Load,2005,8/1/2005,8/1/2005,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,"voltage reduction, load shedding",10:28:00,10:47:00,47116.0,175.0
1385,Severe Weather,2005,7/28/2005,8/1/2005,Duke Energy Company/Duke Power Control Area,Piedmont North and South Carolina,SERC,"severe weather, thunderstorm",20:30:00,17:00:00,52200.0,300.0
1386,Severe Weather,2005,7/27/2005,7/28/2005,PECO Energy,"Bucks, Chester, Delaware, Montgomery and Philadelphia counties, Pennsylvania",MAAC,"severe weather, thunderstorm",16:50:00,21:24:00,93837.0,
1387,Severe Weather,2005,7/27/2005,7/30/2005,Potomac Electric Power Company (Pepco),"Washington, DC, Montgomery and Prince Georges Counties, Maryland",MAAC,"severe weather, thunderstorm",17:50:00,21:07:00,64943.0,
1388,Severe Weather,2005,7/27/2005,7/29/2005,Baltimore Gas and Electric Company,"Baltimore County, Anne Arundel County and Prince Georges County, Maryland",MAAC,"severe weather, thunderstorm",18:00:00,16:00:00,87600.0,
1389,Severe Weather,2005,7/23/2005,7/26/2005,Potomac Electric Power Company (Pepco),"Washington, DC, Montgomery and Prince Georges Counties, Maryland",MAAC,"severe weather, thunderstorm",01:02:00,10:50:00,55118.0,
1390,CAISO,2005,7/22/2005,7/22/2005,Southern California Edison Company,Southern California,WECC,load shedding,13:55:00,18:00:00,133900.0,206.0
1391,CAISO,2005,7/21/2005,7/21/2005,Southern California Edison Company,Southern California,WECC,load shedding,14:39:00,17:30:00,128050.0,197.0
1392,Hurricane Dennis,2005,7/10/2005,7/12/2005,Southern Company,"Alabama, Mississippi, Florida, Georgia",SERC,"severe weather, hurricane/tropical storm",08:00:00,08:00:00,228102.0,45.0
1393,Hurricane Dennis,2005,7/10/2005,7/11/2005,Alabama Electric Coop Inc.,Southwest Alabama and Western Panhandle of Florida,SERC,"severe weather, hurricane/tropical storm",12:53:00,17:33:00,50000.0,51.2
1394,Severe Weather,2005,7/5/2005,7/6/2005,Entergy Corporation,"Southeast and Northeast, Louisiana including the New Orleans area",SPP,"severe weather, hurricane/tropical storm",21:00:00,09:00:00,287000.0,
1395,Firm Load,2005,7/2/2005,7/2/2005,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,load shedding,01:27:00,01:46:00,132290.0,226.0
1396,Fuel Supply,2005,7/1/2005,Ongoing,Southwestern Public Service Company,"Texas, New Mexico, Oklahoma, Kansas",ERCOT,"fuel supply emergency, coal",,,0.0,0.0
1397,Severe Weather,2005,6/29/2005,7/4/2005,DTE Energy,Southeast  Michigan,ECAR,"severe weather, thunderstorm",16:30:00,23:30:00,114711.0,1000.0
1398,Fuel Supply,2005,6/28/2005,Ongoing,Public Service Company of Colorado,Denver Metropolitan area of Colorado,WECC,"fuel supply emergency, coal",11:30:00,,0.0,0.0
1399,Transmission Equipment,2005,6/24/2005,6/24/2005,Commonwealth Edison Company,"Chicago, Illinois",MAIN,"equipment failure, transmission interruption",20:37:00,23:06:00,51500.0,350.0
1400,Voltage Reduction,2005,6/20/2005,6/20/2005,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,voltage reduction,11:16:00,17:15:00,600000.0,35.0
1401,Thunderstorm,2005,6/8/2005,6/10/2005,Xcel Energy - Northern States Power,Minnesota,MRO,"severe weather, thunderstorm",04:00:00,22:00:00,300000.0,100.0
1402,Thunderstorm,2005,6/6/2005,6/8/2005,New York  State Electric and Gas,Central/Eastern New York state,NPCC,"severe weather, thunderstorm",12:00:00,18:00:00,65000.0,
1403,Thunderstorm,2005,6/6/2005,6/7/2005,PECO Energy,"Bucks, Montgomery, Delaware, Chester, Philadelphia counties, Pennsylvania",MAAC,"severe weather, thunderstorm",16:43:00,22:00:00,143000.0,
1404,Severe Weather,2005,6/5/2005,6/10/2005,DTE Energy,Southeast  Michigan,ECAR,"severe weather, thunderstorm",14:00:00,07:30:00,201580.0,1826.0
1405,Thunderstorm,2005,6/5/2005,6/7/2005,Consumers Energy,Portions of  the southern 2/3 of  Michigan's Lower Peninsula,ECAR,"severe weather, thunderstorm",14:00:00,18:00:00,105000.0,60.0
1406,Thunderstorm,2005,5/29/2005,5/30/2005,CenterPoint Energy Houston Electric,"Houston, Texas and surrounding suburban areas",ERCOT,"severe weather, thunderstorm",20:00:00,02:30:00,123000.0,328.0
1407,Voltage Reduction,2005,5/11/2005,5/11/2005,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,voltage reduction,19:00:00,20:31:00,,529.0
1408,Thunderstorm,2005,5/8/2005,5/8/2005,CenterPoint Energy Houston Electric,"Houston, Texas and surrounding suburban areas",ERCOT,"severe weather, thunderstorm",15:00:00,22:00:00,243000.0,672.0
1409,Thunderstorm,2005,4/30/2005,4/30/2005,Southern Company,Alabama and Georgia,SERC,"severe weather, thunderstorm",08:00:00,10:00:00,51808.0,100.0
1410,Severe Weather,2005,4/23/2005,4/27/2005,Cleveland Electric Illuminating Company/First Energy Corporation,"Cleveland, Ohio and northeast Ohio",ECAR,"severe weather, winter storm",06:00:00,06:00:00,150000.0,
1411,Voltage Reduction,2005,4/23/2005,4/23/2005,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,voltage reduction,04:22:00,04:48:00,116552.0,345.0
1412,Lightning,2005,4/22/2005,4/22/2005,Crockett Cogeneration,"San Francisco Bay area, California",WECC,"severe weather, thunderstorm",15:51:00,15:59:00,,126.0
1413,Severe Weather,2005,4/1/2005,4/6/2005,Cleveland Electric Illuminating Company/First Energy Corporation,"Cleveland, Ohio and northeast Ohio",ECAR,"severe weather, winter storm",00:00:00,12:00:00,211000.0,
1414,Severe Weather,2005,3/8/2005,3/8/2005,Progress Energy - Carolinas,Eastern and Central North Carolina,SERC,"severe weather, wind",11:00:00,15:00:00,51600.0,180.0
1415,Voltage Reduction,2005,2/24/2005,2/24/2005,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,voltage reduction,00:58:00,01:05:00,,200.0
1416,Voltage Reduction,2005,2/18/2005,2/18/2005,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,"equipment failure, voltage reduction",08:16:00,08:41:00,372288.0,648.0
1417,Firm Load,2005,2/16/2005,2/16/2005,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,load shedding,13:26:00,13:43:00,139438.0,325.0
1418,Generator Loss,2005,2/15/2005,2/15/2005,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,equipment failure,13:12:00,13:30:00,,380.0
1419,Voltage Reduction,2005,2/1/2005,2/1/2005,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,voltage reduction,,18:01:00,,460.0
1420,Severe Weather,2005,1/29/2005,1/30/2005,Georgia System Operations Corporation (GSOC),Georgia,SERC,"severe weather, winter storm",16:00:00,15:00:00,82000.0,100.0
1421,Severe Weather,2005,1/29/2005,1/31/2005,Southern Company,Parts of Alabama and Georgia,SERC,"severe weather, winter storm",10:00:00,10:00:00,150000.0,100.0
1422,Firm Load,2005,1/24/2005,1/24/2005,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,"load shedding, voltage reduction",06:38:00,06:50:00,70717.0,225.0
1423,Firm Load,2005,1/24/2005,1/24/2005,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,"load shedding, voltage reduction",12:27:00,12:34:00,,385.0
1424,Voltage Reduction,2005,1/23/2005,1/23/2005,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,voltage reduction,10:42:00,11:24:00,,140.0
1425,Voltage Reduction,2005,1/19/2005,1/19/2005,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,voltage reduction,09:17:00,09:27:00,,209.0
1426,Severe Weather,2005,1/7/2005,1/10/2005,Pacific Gas and Electric Company,Northern California,WECC,"severe weather, winter storm",13:00:00,08:00:00,442000.0,120.0
1427,Severe Weather,2005,1/5/2005,1/13/2005,Ohio Edison/First Energy,Akron and Mansfield areas,ECAR,"severe weather, winter storm",16:00:00,18:00:00,246990.0,250.0
1428,Severe Weather,2005,1/5/2005,1/16/2005,American Electric Power,Indiana Michigan Region - Muncie District,ECAR,"severe weather, winter storm",21:10:00,11:00:00,114791.0,545.0
1429,Severe Weather,2005,1/4/2005,1/14/2005,Westar Energy,Eastern one third of the state of Kansas,SPP,"severe weather, winter storm",18:00:00,12:00:00,211000.0,200.0
1430,Severe Weather,2004,12/27/2004,12/27/2004,Pacific Gas and Electric  Company,"Salinas, California and surrounding communities",WECC,severe weather,07:50:00,10:50:00,95000.0,100.0
1431,Severe Weather,2004,12/23/2004,12/31/2004,American Electric Power,Columbus District,ECAR,"severe weather, winter storm",03:37:00,23:00:00,359171.0,800.0
1432,Severe Weather,2004,12/1/2004,12/2/2004,Baltimore Gas & Electric Company,"Central Maryland (Baltimore City, Baltimore County, Anne Arundel County, Hartford County, Montgomery County, Calvert County, Prince George's County, Carroll County and Howard County)",MAAC,"severe weather, wind",10:00:00,23:59:00,122000.0,270.0
1433,Severe Weather,2004,12/1/2004,12/2/2004,Exelon (PECO Energy),"Bucks, Chester, Delaware, Montgomery, and Philadelphia Counties, Pennsylvania",MAAC,"severe weather, storm",07:30:00,22:09:00,105312.0,
1434,Thunderstorm,2004,11/24/2004,11/24/2004,Southern Company,Georgia,SERC,"severe weather, thunderstorm",10:00:00,16:00:00,83450.0,100.0
1435,Thunderstorm,2004,11/23/2004,11/24/2004,CenterPoint Energy,"Houston, Texas and surrounding suburban areas",ERCOT,"severe weather, thunderstorm",22:00:00,01:00:00,119000.0,150.0
1436,Severe Weather,2004,11/14/2004,11/15/2004,ISO New England ( For New Brunswick Electric Power Coordination of joint Reliability Coordinators and Control Area Functions),Nova Scotia,NPCC,"severe weather, winter storm",04:55:00,01:31:00,165000.0,165.0
1437,Fuel Supply,2004,11/9/2004,11/12/2004,Keyspan Energy,"Sayreville, New Jersey Long Island, New York",NPCC,"fuel supply emergency, natural gas",14:15:00,13:07:00,0.0,0.0
1438,Severe Weather,2004,10/30/2004,11/1/2004,Consumers Energy,"Lower peninsula of Michigan. following area:  Grand Rapids, Kalamazoo, Battle Creek, Greenville, Jackson,  Flint, Lansing, Allegan, Temperance",ECAR,"severe weather, wind",10:00:00,18:00:00,122000.0,60.0
1439,Severe Weather,2004,10/30/2004,11/3/2004,DTE Energy,Southeastern Michigan,ECAR,"severe weather, wind",12:30:00,13:50:00,159870.0,700.0
1440,System Interruption,2004,10/28/2004,10/28/2004,Pacific Gas and Electric  Company,"San  Jose, California",WECC,transmission interruption,15:27:00,18:08:00,59458.0,103.0
1441,Fire,2004,10/25/2004,10/26/2004,Entergy Transmission,Southeastern Louisiana in the New Orleans area,SPP,"wild fire, public appeal",11:00:00,10:00:00,,
1442,Severe Weather,2004,10/18/2004,10/20/2004,Pacific Gas and Electric  Company,Northern California,WECC,"severe weather, wind",22:30:00,09:00:00,407440.0,140.0
1443,Breaker Failure,2004,10/10/2004,10/11/2004,Puerto Rico Electric Power Authority,Island Wide,PR,equipment failure,17:09:00,19:57:00,,
1444,Breaker Failure,2004,9/27/2004,9/27/2004,ISO New England ( For New Brunswick Electric Power Coordination of joint Reliability Coordinators and Control Area Functions),Nova Scotia,NPCC,equipment failure,16:06:00,16:12:00,,
1445,Hurricane Jeanne,2004,9/27/2004,9/27/2004,Southern Company,Georgia,SERC,"severe weather, hurricane/tropical storm",08:00:00,14:00:00,85455.0,854.0
1446,Hurricane Jeanne,2004,9/26/2004,9/30/2004,Orlando Utilities Commission,"Orlando and St. Cloud, Florida",FRCC,"severe weather, hurricane/tropical storm",03:00:00,09:00:00,110000.0,350.0
1447,Hurricane Jeanne,2004,9/26/2004,10/1/2004,Progress Energy Florida,"Florida counties of Alachua, Bay, Brevard, Citrus, Columbia, Dixie, Flagler, Franklin, Gilchrist, Gulf, Hamilton, Hardee, Hernando, Highlands, Hillsborough, Jefferson, Lafayette, Lake, Leon, Levy, Madison, Marion, Orange, Osceola, Pasco, Pinellas, Polk, Seminole, Sumter, Suwannee, Taylor, Volusia and Wakulla",FRCC,"severe weather, hurricane/tropical storm",06:00:00,00:00:00,722000.0,1800.0
1448,Hurricane Jeanne,2004,9/26/2004,9/27/2004,Tampa Electric Company,"Hillsborough, Pasco, and Polk County, Florida",FRCC,"severe weather, hurricane/tropical storm",02:00:00,00:00:00,285300.0,1250.0
1449,Hurricane Jeanne,2004,9/25/2004,9/26/2004,Fort Pierce Utilities Authority,"City of Fort Pierce, Florida",FRCC,"severe weather, hurricane/tropical storm",17:00:00,09:00:00,26000.0,125.0
1450,Hurricane Ivan,2004,9/17/2004,9/18/2004,Progress Energy -Carolinas,Western North Carolina,SERC,"severe weather, hurricane/tropical storm",04:30:00,12:00:00,112000.0,400.0
1451,Hurricane Ivan,2004,9/16/2004,9/20/2004,Duke Energy Company/Duke Power Control Area,Western  North and South Carolina,SERC,"severe weather, hurricane/tropical storm",21:00:00,16:00:00,175000.0,500.0
1452,Hurricane Ivan,2004,9/16/2004,9/16/2004,Alabama Electric Cooperative,"Baldwin County, Alabama, Escambia County, Florida, Washington County, Alabama",SERC,"severe weather, hurricane/tropical storm",02:00:00,10:02:00,75000.0,263.0
1453,Hurricane Ivan,2004,9/15/2004,9/17/2004,Southern Company,"Florida, Mississippi, Alabama, Georgia",SERC,"severe weather, hurricane/tropical storm",19:00:00,19:00:00,916316.0,916.0
1454,Hurricane Jeanne,2004,9/15/2004,09/23/04 12:00 p.m.,Puerto Rico Electric Power Authority,Whole Island of Puerto Rico,PR,"severe weather, hurricane/tropical storm",12:04:00,,1423590.0,1243.0
1455,Hurricane Frances,2004,9/7/2004,9/8/2004,Georgia System Operations,Georgia,SERC,"severe weather, hurricane/tropical storm",10:00:00,12:00:00,150000.0,2200.0
1456,Hurricane Frances,2004,9/6/2004,9/9/2004,Southern Company,"Florida, Mississippi, Alabama, Georgia",SERC,"severe weather, hurricane/tropical storm",13:00:00,12:00:00,99000.0,3000.0
1457,Hurricane Frances,2004,9/5/2004,9/9/2004,Orlando Utilities Commission,"Orlando, Florida",FRCC,"severe weather, hurricane/tropical storm",01:00:00,17:00:00,65000.0,200.0
1458,Hurricane Frances,2004,9/5/2004,9/12/2004,Progress Energy Florida,"Florida counties of Alachua, Citrus, Columbia, Dixie, Franklin, Gilchrist, Gulf, Hamilton, Hardee, Hernando, Highlands, Jefferson, Lafayette, Lake, Levy, Madison, Marion, Orange, Osceola, Pasco, Pinellas, Polk, Seminole, Sumter, Suwannee, Taylor, Volusia and Wakulla",FRCC,"severe weather, hurricane/tropical storm",07:00:00,00:00:00,832898.0,2100.0
1459,Hurricane Frances,2004,9/4/2004,9/6/2004,Florida Power & Light,"West Palm Beach to Daytona Beach, Florida",FRCC,"severe weather, hurricane/tropical storm",08:00:00,08:00:00,2775093.0,6000.0
1460,Hurricane Frances,2004,9/4/2004,9/12/2004,Tampa Electric Company,"Hillsborough, Pasco, and Polk County, Florida",FRCC,"severe weather, hurricane/tropical storm",10:00:00,19:00:00,268000.0,1100.0
1461,Hurricane Frances,2004,9/3/2004,9/5/2004,Fort Pierce Utilities Authority,"City of Fort Pierce, Florida",FRCC,"severe weather, hurricane/tropical storm",21:00:00,14:00:00,26000.0,125.0
1462,Severe Weather,2004,8/30/2004,8/31/2004,Dominion - Virginia Power/North Carolina Power,"Central Virginia, South to North Carolina and East to the Virginia Coast",SERC,"severe weather, hurricane/tropical storm",18:58:00,15:35:00,99816.0,150.0
1463,Severe Weather,2004,8/29/2004,8/29/2004,South Carolina Electric and Gas Company,Southeastern South Carolina,SERC,"severe weather, hurricane/tropical storm",,18:00:00,125000.0,450.0
1464,Lightning,2004,8/20/2004,8/20/2004,National Grid USA,"Boston, Massachusetts",NPCC,"severe weather, thunderstorm, transmission interruption",15:31:00,21:45:00,380000.0,22700.0
1465,Hurricane Charley,2004,8/14/2004,8/14/2004,Progress Energy - Carolinas,Central and Eastern North Carolina and Northern and Eastern South Carolina,SERC,"severe weather, hurricane/tropical storm",13:00:00,23:00:00,94000.0,500.0
